rail,func_min,perf_min,nom,perf_max,func_max,htol,hvqk
vcc,0.692,0.702,0.78,0.8424,0.8524,0.924,1.45
vcc_min_0p54,0.54,0.54,0.78,0.96,0.96,0.924,1.45
vcc_vid_ff_h,0.665,0.675,0.75,0.8424,0.8524,0.924,1.45
vcc_vid_ff_c,0.665,0.675,0.75,0.8424,0.8524,0.924,1.45
vcc_vid_tt_h,0.665,0.675,0.75,0.8424,0.8524,0.924,1.45
vcc_vid_tt_c,0.692,0.702,0.78,0.918,0.928,0.924,1.45
vcc_vid_ss_h,0.665,0.675,0.75,0.8424,0.8524,0.924,1.45
vcc_vid_ss_c,0.692,0.702,0.78,0.918,0.928,0.924,1.45
vccana,0.715,0.725,0.75,0.775,0.785,,
vccana_0p65v,0.615,0.625,0.65,0.675,0.685,,
vccana_max_0p96,0.54,0.54,0.75,0.96,0.96,0.924,1.45
vcctx_700,0.665,0.675,0.7,0.725,0.735,,
vcctx_650,0.615,0.625,0.65,0.675,0.685,,
vcctx_600,0.565,0.575,0.6,0.625,0.635,,
vcctx_550,0.515,0.525,0.55,0.575,0.585,,
vcctx_525,0.49,0.5,0.525,0.55,0.56,,
vcctx_500,0.465,0.475,0.5,0.525,0.535,,
vcctx_400,0.378,0.388,0.4,0.412,0.422,,
vcctx_NA,"0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn"
1p1v,0.98,0.99,1.1,1.188,,1.165,1.165
1p05v,0.935,0.945,1.05,1.134,,1.165,1.165
1p0v,0.89,0.9,1,1.08,,1.06,1.06
1p2v,0.98,1.08,1.2,1.296,,1.165,1.165
